time,airTemperature,pressure,cloudCover,currentDirection,currentSpeed,dewPointTemperature,gust,humidity,iceCover,precipitation,rain,snow,graupel,seaLevel,snowAlbedo,snowDepth,seaIceThickness,swellDirection,swellHeight,swellPeriod,secondarySwellDirection,secondarySwellHeight,secondarySwellPeriod,waterTemperature,waveDirection,waveHeight,wavePeriod,windWaveDirection,windWaveHeight,windWavePeriod,windDirection,windSpeed
2025-06-28T05:00:00+00:00,{'sg': 14.34},{'sg': 1011.4},{'sg': 4.41},{'sg': 183.4},{'sg': 0.04},{'sg': 11.12},{'sg': 8.27},{'sg': 81.13},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.05},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 2.34},{'sg': 0.17},{'sg': 5.61},{'sg': 180.82},{'sg': 0.1},{'sg': 4.05},{'sg': 13.24},{'sg': 105.53},{'sg': 0.24},{'sg': 3.21},{'sg': 296.24},{'sg': 0.44},{'sg': 2.68},{'sg': 265.75},{'sg': 5.0}
2025-06-28T06:00:00+00:00,{'sg': 15.6},{'sg': 1011.66},{'sg': 17.13},{'sg': 195.71},{'sg': 0.03},{'sg': 11.59},{'sg': 8.37},{'sg': 79.64},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.05},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 2.24},{'sg': 0.21},{'sg': 5.61},{'sg': 177.18},{'sg': 0.12},{'sg': 3.87},{'sg': 13.27},{'sg': 95.81},{'sg': 0.23},{'sg': 3.53},{'sg': 291.65},{'sg': 0.39},{'sg': 2.55},{'sg': 272.04},{'sg': 4.56}
2025-06-28T07:00:00+00:00,{'sg': 16.82},{'sg': 1011.64},{'sg': 92.95},{'sg': 214.19},{'sg': 0.02},{'sg': 11.86},{'sg': 7.73},{'sg': 77.11},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.06},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 1.87},{'sg': 0.23},{'sg': 5.62},{'sg': 119.92},{'sg': 0.11},{'sg': 3.54},{'sg': 13.28},{'sg': 68.51},{'sg': 0.24},{'sg': 3.71},{'sg': 265.08},{'sg': 0.38},{'sg': 2.51},{'sg': 266.57},{'sg': 3.55}
2025-06-28T08:00:00+00:00,{'sg': 17.14},{'sg': 1011.61},{'sg': 98.64},{'sg': 240.95},{'sg': 0.02},{'sg': 12.13},{'sg': 6.3},{'sg': 77.8},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.07},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 2.05},{'sg': 0.24},{'sg': 5.56},{'sg': 62.67},{'sg': 0.11},{'sg': 3.22},{'sg': 13.32},{'sg': 44.51},{'sg': 0.26},{'sg': 3.76},{'sg': 238.5},{'sg': 0.36},{'sg': 2.47},{'sg': 246.03},{'sg': 3.02}
2025-06-28T09:00:00+00:00,{'sg': 17.11},{'sg': 1011.48},{'sg': 99.52},{'sg': 280.86},{'sg': 0.02},{'sg': 12.4},{'sg': 7.11},{'sg': 81.86},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.07},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 1.72},{'sg': 0.23},{'sg': 5.59},{'sg': 5.41},{'sg': 0.1},{'sg': 2.89},{'sg': 13.33},{'sg': 36.96},{'sg': 0.28},{'sg': 3.7},{'sg': 211.93},{'sg': 0.35},{'sg': 2.43},{'sg': 234.15},{'sg': 4.26}
2025-06-28T10:00:00+00:00,{'sg': 17.03},{'sg': 1011.62},{'sg': 100.0},{'sg': 326.78},{'sg': 0.03},{'sg': 12.33},{'sg': 8.14},{'sg': 81.57},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.07},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 1.36},{'sg': 0.21},{'sg': 5.65},{'sg': 32.72},{'sg': 0.1},{'sg': 2.87},{'sg': 13.34},{'sg': 33.42},{'sg': 0.33},{'sg': 3.5},{'sg': 213.71},{'sg': 0.34},{'sg': 2.38},{'sg': 239.85},{'sg': 4.9}
2025-06-28T11:00:00+00:00,{'sg': 16.88},{'sg': 1011.73},{'sg': 100.0},{'sg': 348.76},{'sg': 0.04},{'sg': 12.25},{'sg': 8.78},{'sg': 80.42},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.07},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 0.57},{'sg': 0.18},{'sg': 5.81},{'sg': 60.03},{'sg': 0.11},{'sg': 2.85},{'sg': 13.37},{'sg': 29.82},{'sg': 0.36},{'sg': 3.24},{'sg': 215.5},{'sg': 0.32},{'sg': 2.33},{'sg': 248.84},{'sg': 5.24}
2025-06-28T12:00:00+00:00,{'sg': 16.52},{'sg': 1011.39},{'sg': 100.0},{'sg': 359.3},{'sg': 0.05},{'sg': 12.18},{'sg': 8.42},{'sg': 85.91},{'sg': 0.0},{'sg': 0.1},,,,{'sg': 0.07},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 359.79},{'sg': 0.15},{'sg': 6.04},{'sg': 87.34},{'sg': 0.11},{'sg': 2.83},{'sg': 13.39},{'sg': 26.12},{'sg': 0.37},{'sg': 3.09},{'sg': 217.28},{'sg': 0.31},{'sg': 2.28},{'sg': 233.0},{'sg': 4.26}
2025-06-28T13:00:00+00:00,{'sg': 16.58},{'sg': 1011.14},{'sg': 100.0},{'sg': 8.35},{'sg': 0.06},{'sg': 12.55},{'sg': 7.42},{'sg': 84.15},{'sg': 0.0},{'sg': 0.1},,,,{'sg': 0.08},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 0.04},{'sg': 0.14},{'sg': 5.72},{'sg': 37.34},{'sg': 0.11},{'sg': 2.47},{'sg': 13.41},{'sg': 25.66},{'sg': 0.36},{'sg': 3.12},{'sg': 216.47},{'sg': 0.35},{'sg': 2.39},{'sg': 234.36},{'sg': 4.34}
2025-06-28T14:00:00+00:00,{'sg': 16.29},{'sg': 1010.62},{'sg': 100.0},{'sg': 15.4},{'sg': 0.06},{'sg': 12.92},{'sg': 8.21},{'sg': 87.14},{'sg': 0.0},{'sg': 0.1},,,,{'sg': 0.08},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 359.94},{'sg': 0.14},{'sg': 5.14},{'sg': 347.33},{'sg': 0.12},{'sg': 2.12},{'sg': 13.42},{'sg': 26.78},{'sg': 0.35},{'sg': 2.89},{'sg': 215.65},{'sg': 0.4},{'sg': 2.5},{'sg': 204.96},{'sg': 5.15}
2025-06-28T15:00:00+00:00,{'sg': 15.99},{'sg': 1009.78},{'sg': 100.0},{'sg': 22.47},{'sg': 0.05},{'sg': 13.3},{'sg': 11.32},{'sg': 89.64},{'sg': 0.0},{'sg': 0.1},,,,{'sg': 0.08},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 3.06},{'sg': 0.11},{'sg': 5.64},{'sg': 297.33},{'sg': 0.12},{'sg': 1.76},{'sg': 13.42},{'sg': 28.09},{'sg': 0.33},{'sg': 2.7},{'sg': 214.84},{'sg': 0.44},{'sg': 2.61},{'sg': 210.34},{'sg': 7.15}
2025-06-28T16:00:00+00:00,{'sg': 15.78},{'sg': 1008.83},{'sg': 100.0},{'sg': 29.21},{'sg': 0.05},{'sg': 13.51},{'sg': 12.28},{'sg': 94.06},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.07},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 2.19},{'sg': 0.1},{'sg': 5.64},{'sg': 344.58},{'sg': 0.11},{'sg': 2.97},{'sg': 13.41},{'sg': 25.19},{'sg': 0.36},{'sg': 2.83},{'sg': 214.66},{'sg': 0.51},{'sg': 2.73},{'sg': 211.06},{'sg': 7.66}
2025-06-28T17:00:00+00:00,{'sg': 15.96},{'sg': 1007.96},{'sg': 100.0},{'sg': 35.24},{'sg': 0.04},{'sg': 13.73},{'sg': 13.23},{'sg': 94.2},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.07},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 1.23},{'sg': 0.08},{'sg': 6.01},{'sg': 31.84},{'sg': 0.1},{'sg': 4.17},{'sg': 13.4},{'sg': 23.91},{'sg': 0.42},{'sg': 3.06},{'sg': 214.48},{'sg': 0.59},{'sg': 2.85},{'sg': 209.88},{'sg': 8.4}
2025-06-28T18:00:00+00:00,{'sg': 16.1},{'sg': 1007.33},{'sg': 100.0},{'sg': 39.79},{'sg': 0.04},{'sg': 13.95},{'sg': 13.23},{'sg': 95.1},{'sg': 0.0},{'sg': 0.0},,,,{'sg': 0.06},{'sg': 0.85},{'sg': 0.0},{'sg': 0.0},{'sg': 255.78},{'sg': 0.01},{'sg': 3.45},{'sg': 79.09},{'sg': 0.09},{'sg': 5.38},{'sg': 13.36},{'sg': 23.27},{'sg': 0.51},{'sg': 3.2},{'sg': 214.3},{'sg': 0.66},{'sg': 2.97},{'sg': 214.55},{'sg': 7.57}
